"","accessionversion","title","taxid","genus","childtaxa_name","createdate","complete","length","subname"
"1427","KT805994.1","lcl|KT805994.1_cds_ALJ54474.1_1 [protein=spike protein] [protein_id=ALJ54474.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/01/07","complete_spike",4062,"Middle East respiratory syndrome coronavirus|Hu/Jeddah-KSA-C21864/2015|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory secretions|09-Mar-2015"
"1428","MF598687.1","lcl|MF598687.1_cds_ASU90945.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU90945.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_B100_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Mar-2015"
"1429","MF598688.1","lcl|MF598688.1_cds_ASU90956.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU90956.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_B101_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Mar-2015"
"1430","KX108946.1","lcl|KX108946.1_cds_ANI69922.1_3 [gene=S] [protein=spike protein] [protein_id=ANI69922.1] [location=21437..25498] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/12/29","whole_genome",4062,"Middle East respiratory syndrome coronavirus|D1189.1/15|Camelus dromedarius|MERS-CoV|United Arab Emirates|18-May-2015"
"1431","KT182957.1","lcl|KT182957.1_cds_AKN11075.1_1 [gene=S] [protein=spike protein] [protein_id=AKN11075.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/04/07","complete_spike",4062,"Middle East respiratory syndrome coronavirus|MERS-CoV/KOR/KNIH/042_05_2015|Homo sapiens|MERS-CoV|South Korea|sputum|30-May-2015|direct PCR using clinical sample"
"1432","MF598608.1","lcl|MF598608.1_cds_ASU90076.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU90076.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_B16_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Mar-2015"
"1433","KT806047.1","lcl|KT806047.1_cds_ALW82669.1_3 [gene=S] [protein=S protein] [protein_id=ALW82669.1] [location=21434..25495] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/01/13","whole_genome",4062,"Middle East respiratory syndrome coronavirus|Hu/Hufuf-KSA-9158/2015|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory secretions|27-Mar-2015"
"1434","KM210278.1","lcl|KM210278.1_cds_AJD81451.1_3 [protein=S protein] [protein_id=AJD81451.1] [location=21416..25477] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/01/18","whole_genome",4062,"Middle East respiratory syndrome coronavirus|England/3/2013|Homo sapiens|MERS-CoV|United Kingdom|nose swab|10-Feb-2013"
"1435","KT806048.1","lcl|KT806048.1_cds_ALW82680.1_3 [gene=S] [protein=S protein] [protein_id=ALW82680.1] [location=21434..25495] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/01/13","whole_genome",4062,"Middle East respiratory syndrome coronavirus|Hu/Khobar-KSA-6736/2015|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory secretions|07-Feb-2015"
"1436","KT806004.1","lcl|KT806004.1_cds_ALJ54484.1_1 [protein=spike protein] [protein_id=ALJ54484.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/01/07","complete_spike",4062,"Middle East respiratory syndrome coronavirus|Hu/Buraydah-KSA-3334/2015|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory secretions|14-Feb-2015"
"1437","KJ361501.1","lcl|KJ361501.1_cds_AIZ74433.1_3 [protein=S] [protein_id=AIZ74433.1] [location=21321..25382] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/03/10","whole_genome",4062,"Hu-France - FRA2_130569-2013_IS_HTS|Homo sapiens|MERS-CoV|MERS-CoV|France|Induced Sputum|07-May-2013"
"1438","MF598655.1","lcl|MF598655.1_cds_ASU90593.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU90593.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_B65_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Mar-2015"
"1439","KJ361503.1","lcl|KJ361503.1_cds_AIZ74450.1_3 [protein=S] [protein_id=AIZ74450.1] [location=21413..25474] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/03/10","whole_genome",4062,"Hu-France - FRA2_130569-2013_Isolate_Sanger|Homo sapiens|MERS-CoV|MERS-CoV|France|Sputum on Vero E6|07-May-2013"
"1440","MF598698.1","lcl|MF598698.1_cds_ASU91065.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU91065.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_B111_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Mar-2015"
"1441","KX154693.1","lcl|KX154693.1_cds_ANF29261.1_3 [gene=S] [protein=S protein] [protein_id=ANF29261.1] [location=21434..25495] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/04/30","whole_genome",4062,"Middle East respiratory syndrome coronavirus|Hu/Riyadh-KSA-13127/2016|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory secretions|29-Feb-2016"
"1442","MK858162.1","lcl|MK858162.1_cds_QCQ28834.1_1 [protein=spike glycoprotein] [protein_id=QCQ28834.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2019/05/20","complete_spike",4062,"41|Homo sapiens|MERS-CoV|Saudi Arabia|nasopharyngeal swab|03-Jun-2017"
"1443","MF598703.1","lcl|MF598703.1_cds_ASU91120.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU91120.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_414480_W3_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Apr-2015"
"1444","MH029552.1","lcl|MH029552.1_cds_AYO86699.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=AYO86699.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2019/03/06","whole_genome",4062,"Hu/Riyadh-KSA-008D3N/2015|Homo sapiens|MERS-CoV|Vero p2|Saudi Arabia|nasopharyngeal swab|26-Aug-2015"
"1445","MN403101.1","lcl|MN403101.1_cds_QEU56411.1_1 [gene=S] [protein=spike protein] [protein_id=QEU56411.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2019/10/01","complete_spike",4062,"31-Cam-Jed|Camelus dromedarius|MERS-CoV|Saudi Arabia: Jeddah|Mar-2019"
"1446","KT805974.1","lcl|KT805974.1_cds_ALJ54454.1_1 [protein=spike protein] [protein_id=ALJ54454.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/01/07","complete_spike",4062,"Middle East respiratory syndrome coronavirus|Hu/Riyadh-KSA-4071/2015|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory secretions|28-Feb-2015"
"1447","KT368847.1","lcl|KT368847.1_cds_ALA49594.1_3 [gene=S] [protein=spike protein] [protein_id=ALA49594.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/12/17","whole_genome",4062,"Middle East respiratory syndrome coronavirus|camel/Jeddah/N62(b)/2014|camel|MERS-CoV|Saudi Arabia|Nov-2014"
"1448","KT805977.1","lcl|KT805977.1_cds_ALJ54457.1_1 [protein=spike protein] [protein_id=ALJ54457.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/01/07","complete_spike",4062,"Middle East respiratory syndrome coronavirus|Hu/Riyadh-KSA-3562/2015|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory secretions|23-Feb-2015"
"1449","MF598707.1","lcl|MF598707.1_cds_ASU91164.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU91164.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_415915_W3_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Apr-2015"
"1450","MF598708.1","lcl|MF598708.1_cds_ASU91175.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU91175.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_414492_W3_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Apr-2015"
"1451","MF598709.1","lcl|MF598709.1_cds_ASU91186.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU91186.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_414485_W4_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Apr-2015"
"1452","KT026454.1","lcl|KT026454.1_cds_AKK52592.1_3 [gene=S] [protein=S protein] [protein_id=AKK52592.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/06/08","whole_genome",4062,"Middle East respiratory syndrome coronavirus|Hu/Riyadh_KSA_4050_2015|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory swab|01-Mar-2015"
"1453","MF598712.1","lcl|MF598712.1_cds_ASU91219.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU91219.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_414492_W4_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Apr-2015"
"1454","KM027256.1","lcl|KM027256.1_cds_AID55067.1_4 [gene=S] [protein=spike protein] [protein_id=AID55067.1] [location=21419..25480] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2014/11/12","whole_genome",4062,"Middle East respiratory syndrome coronavirus|Jeddah_C7569/KSA/2014-04-03|Homo sapiens|MERS-CoV|Saudi Arabia|2014"
"1455","MF598714.1","lcl|MF598714.1_cds_ASU91241.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU91241.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_414500_W4_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Apr-2015"
"1456","MF598635.1","lcl|MF598635.1_cds_ASU90373.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU90373.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_B44_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Mar-2015"
"1457","MG757603.1","lcl|MG757603.1_cds_AXN73503.1_3 [gene=S] [protein=S protein] [protein_id=AXN73503.1] [location=21434..25495] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2019/01/31","whole_genome",4062,"Hu/Riyadh-KSA-031D1N/2015|Homo sapiens|MERS-CoV|Saudi Arabia|nasopharyngeal swab|18-Sep-2015"
"1458","MG757604.1","lcl|MG757604.1_cds_AXN73514.1_3 [gene=S] [protein=S protein] [protein_id=AXN73514.1] [location=21434..25495] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2019/01/31","whole_genome",4062,"Hu/Riyadh-KSA-039D3T/2016|Homo sapiens|MERS-CoV|Saudi Arabia|oropharyngeal swab|31-Jan-2016"
"1459","MF598719.1","lcl|MF598719.1_cds_ASU91295.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU91295.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_415911_W4_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Apr-2015"
"1460","KR912187.1","lcl|KR912187.1_cds_ALJ76277.1_1 [protein=spike protein] [protein_id=ALJ76277.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/10/21","complete_spike",4062,"Middle East respiratory syndrome coronavirus|Hu/Taif,KSA-6047/2014|Homo sapiens|MERS-CoV|Saudi Arabia|serum|28-Nov-2014"
"1461","KT368861.1","lcl|KT368861.1_cds_ALA49748.1_3 [gene=S] [protein=spike protein] [protein_id=ALA49748.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/12/17","whole_genome",4062,"Middle East respiratory syndrome coronavirus|camel/Jeddah/Jd7/2015|camel|MERS-CoV|Saudi Arabia|Jan-2015"
"1462","KT368862.1","lcl|KT368862.1_cds_ALA49759.1_3 [gene=S] [protein=spike protein] [protein_id=ALA49759.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/12/17","whole_genome",4062,"Middle East respiratory syndrome coronavirus|camel/Jeddah/Jd85/2015|camel|MERS-CoV|Saudi Arabia|Jan-2015"
"1463","KT368863.1","lcl|KT368863.1_cds_ALA49770.1_3 [gene=S] [protein=spike protein] [protein_id=ALA49770.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/12/17","whole_genome",4062,"Middle East respiratory syndrome coronavirus|camel/Jeddah/Jd86/2015|camel|MERS-CoV|Saudi Arabia|Jan-2015"
"1464","KT121579.1","lcl|KT121579.1_cds_AKN24812.1_2 [protein=spike protein] [protein_id=AKN24812.1] [location=21397..25458] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/11/17","whole_genome",4062,"Middle East respiratory syndrome coronavirus|KFMC-8|Homo sapiens|MERS-CoV|Saudi Arabia|30-Apr-2014"
"1465","KT121580.1","lcl|KT121580.1_cds_AKN24821.1_2 [protein=spike protein] [protein_id=AKN24821.1] [location=21445..25506] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/11/17","whole_genome",4062,"Middle East respiratory syndrome coronavirus|KFMC-1|Homo sapiens|MERS-CoV|Saudi Arabia|28-Apr-2014"
"1466","KT121581.1","lcl|KT121581.1_cds_AKN24830.1_2 [protein=spike protein] [protein_id=AKN24830.1] [location=21397..25458] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/11/17","whole_genome",4062,"Middle East respiratory syndrome coronavirus|KFMC-7|Homo sapiens|MERS-CoV|Saudi Arabia|03-May-2014"
"1467","MN735681.1","lcl|MN735681.1_cds_QGW51940.1_1 [gene=S] [protein=spike glycoprotein] [protein_id=QGW51940.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2019/12/18","complete_spike",4062,"81|Homo sapiens|MERS-CoV|Saudi Arabia|tracheal aspirate|23-Jun-2017"
"1468","KT156561.1","lcl|KT156561.1_cds_AKM76239.1_3 [gene=S] [protein=S protein] [protein_id=AKM76239.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/06/23","whole_genome",4062,"Middle East respiratory syndrome coronavirus|Hu/Oman_2874_2013|Homo sapiens|MERS-CoV|Oman|nasopharyngeal swab|28-Dec-2013"
"1469","KT182953.1","lcl|KT182953.1_cds_AKN11071.1_1 [gene=S] [protein=spike protein] [protein_id=AKN11071.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/04/07","complete_spike",4062,"Middle East respiratory syndrome coronavirus|MERS-CoV/KOR/KNIH/009_05_2015|Homo sapiens|MERS-CoV|South Korea|sputum|28-May-2015|direct PCR using clinical sample"
"1470","MK052676.1","lcl|MK052676.1_cds_AYP10298.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=AYP10298.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2018/11/05","whole_genome",4062,"Hu/Jordan-201440011858/2014|Homo sapiens|MERS-CoV|Jordan|respiratory secretions|23-May-2014|clinical specimen"
"1471","MH013216.1","lcl|MH013216.1_cds_AVV61900.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=AVV61900.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2018/04/10","whole_genome",4062,"HCoV-EMC|Homo sapiens|MERS-CoV|Saudi Arabia|15-Oct-2015|NGHA"
"1472","KJ156952.1","lcl|KJ156952.1_cds_AHI48605.1_3 [protein=S protein] [protein_id=AHI48605.1] [location=21405..25466] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2014/02/06","whole_genome",4062,"Riyadh_4_2013|Homo sapiens|MERS coronavirus|MERS-CoV|Saudi Arabia|01-Mar-2013"
"1473","MH734114.1","lcl|MH734114.1_cds_AXP07345.1_3 [protein=S protein] [protein_id=AXP07345.1] [location=21431..25492] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2019/01/03","whole_genome",4062,"MERS-CoV camel/Kenya/C1215/2018|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|Kenya|13-Mar-2018"
"1474","KM027273.1","lcl|KM027273.1_cds_AID55084.1_1 [gene=S] [protein=spike protein] [protein_id=AID55084.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2014/11/12","complete_spike",4062,"Middle East respiratory syndrome coronavirus|Jeddah_C8965/KSA/2014|Homo sapiens|MERS-CoV|Saudi Arabia|2014"
"1475","MK462245.1","lcl|MK462245.1_cds_QBF80477.1_3 [gene=S] [protein=S protein] [protein_id=QBF80477.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2019/03/02","whole_genome",4062,"Hu/Jeddah-KSA-173RS1512/2017|Homo sapiens|MERS-CoV|Saudi Arabia|nasopharyngeal swab|15-Aug-2017"
"1476","KF961221.1","lcl|KF961221.1_cds_AHC74088.1_3 [gene=S] [protein=S] [protein_id=AHC74088.1] [location=21438..25499] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2013/12/23","whole_genome",4062,"Middle East respiratory syndrome coronavirus|Qatar3|Homo sapiens|MERS-CoV|Qatar|13-Oct-2013"
"1477","KF961222.1","lcl|KF961222.1_cds_AHC74098.1_3 [gene=S] [protein=S] [protein_id=AHC74098.1] [location=21442..25503] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2013/12/23","whole_genome",4062,"Middle East respiratory syndrome coronavirus|Qatar4|Homo sapiens|MERS-CoV|Qatar|17-Oct-2013"
"1478","KT368838.1","lcl|KT368838.1_cds_ALA49495.1_3 [gene=S] [protein=spike protein] [protein_id=ALA49495.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/12/17","whole_genome",4062,"Middle East respiratory syndrome coronavirus|camel/Jeddah/D46(b)/2014|camel|MERS-CoV|Saudi Arabia|Dec-2014"
"1479","KT806051.1","lcl|KT806051.1_cds_ALW82709.1_3 [gene=S] [protein=S protein] [protein_id=ALW82709.1] [location=21434..25495] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/01/13","whole_genome",4062,"Middle East respiratory syndrome coronavirus|Hu/Riyadh-KSA-2716/2015|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory secretions|05-Feb-2015"
"1480","MG011347.1","lcl|MG011347.1_cds_ATG84756.1_3 [gene=S] [protein=S protein] [protein_id=ATG84756.1] [location=21434..25495] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/10/03","whole_genome",4062,"Hu/Riyadh-KSA-14670/2016|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory secretions|13-Mar-2016"
"1481","MF598658.1","lcl|MF598658.1_cds_ASU90626.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU90626.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_B68_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Mar-2015"
"1482","KT368841.1","lcl|KT368841.1_cds_ALA49528.1_3 [gene=S] [protein=spike protein] [protein_id=ALA49528.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/12/17","whole_genome",4062,"Middle East respiratory syndrome coronavirus|camel/Jeddah/D49/2014|camel|MERS-CoV|Saudi Arabia|Dec-2014"
"1483","KT806055.1","lcl|KT806055.1_cds_ALW82753.1_3 [gene=S] [protein=S protein] [protein_id=ALW82753.1] [location=21434..25495] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/01/13","whole_genome",4062,"Middle East respiratory syndrome coronavirus|Hu/Jeddah-KSA-C20860/2015|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory secretions|10-Feb-2015"
"1484","KT374053.1","lcl|KT374053.1_cds_ALB08278.1_3 [protein=S protein] [protein_id=ALB08278.1] [location=21440..25501] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/11/24","whole_genome",4062,"Middle East respiratory syndrome coronavirus|KOREA/Seoul/014-2-2015|Homo sapiens|MERS-CoV|South Korea|sputum|13-Jun-2015"
"1485","KT374054.1","lcl|KT374054.1_cds_ALB08289.1_3 [protein=S protein] [protein_id=ALB08289.1] [location=21440..25501] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2015/11/24","whole_genome",4062,"Middle East respiratory syndrome coronavirus|KOREA/Seoul/035-1-2015|Homo sapiens|MERS-CoV|South Korea|sputum|03-Jun-2015"
"1486","MF598620.1","lcl|MF598620.1_cds_ASU90208.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU90208.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_B28_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Mar-2015"
"1487","MG987421.1","lcl|MG987421.1_cds_AWH65954.1_3 [gene=S] [protein=S protein] [protein_id=AWH65954.1] [location=21811..25854] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2020/02/23","whole_genome",4044,"NL140455|MERS-CoV|China|24.59 N 113.06 E|08-May-2014|G.Zhu|B.Li"
"1488","MF598666.1","lcl|MF598666.1_cds_ASU90714.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU90714.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_B76_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Mar-2015"
"1489","MF598623.1","lcl|MF598623.1_cds_ASU90241.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU90241.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_B31_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Mar-2015"
"1490","KF186564.1","lcl|KF186564.1_cds_AGN70929.1_3 [protein=S protein] [protein_id=AGN70929.1] [location=21420..25481] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2013/06/10","whole_genome",4062,"Middle East respiratory syndrome coronavirus|Al-Hasa_4_2013|Homo sapiens|MERS-CoV|Saudi Arabia|01-May-2013"
"1491","MF598625.1","lcl|MF598625.1_cds_ASU90263.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=ASU90263.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2017/11/15","whole_genome",4062,"camel/UAE_B33_2015|Camelus dromedarius|MERS-CoV|Middle East respiratory syndrome coronavirus|United Arab Emirates|nasopharyngeal swab|Mar-2015"
"1492","KM027292.1","lcl|KM027292.1_cds_AID55103.1_1 [gene=S] [protein=spike protein] [protein_id=AID55103.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2014/11/12","complete_spike",4062,"Middle East respiratory syndrome coronavirus|Riyadh_2014KSA_695/KSA/2014|Homo sapiens|MERS-CoV|Saudi Arabia|2014"
"1493","MG912606.1","lcl|MG912606.1_cds_AVK87439.1_3 [gene=S] [protein=spike glycoprotein] [protein_id=AVK87439.1] [location=21456..25517] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2018/08/31","whole_genome",4062,"Hu/Riyadh-KSA-9852/2017|Homo sapiens|MERS-CoV|Saudi Arabia|nasopharyngeal swab|14-Jun-2017"
"1494","KT806022.1","lcl|KT806022.1_cds_ALJ54502.1_1 [protein=spike protein] [protein_id=ALJ54502.1] [location=1..4062] [gbkey=CDS]","1335626","Betacoronavirus","Middle East respiratory syndrome-related coronavirus","2016/01/07","complete_spike",4062,"Middle East respiratory syndrome coronavirus|Hu/Qunfidhah-KSA-Rs1338/2015|Homo sapiens|MERS-CoV|Saudi Arabia|respiratory secretions|12-May-2015"
